Clans,Pfam_List,Pfam_List_in_combine
CL0016,"['PF00069', 'PF00454', 'PF01163', 'PF01504', 'PF01633', 'PF01636', 'PF02816', 'PF02958', 'PF03109', 'PF03770', 'PF03881', 'PF04183', 'PF04655', 'PF05445', 'PF06090', 'PF06176', 'PF06293', 'PF06315', 'PF06702', 'PF06734', 'PF07387', 'PF07714', 'PF07804', 'PF07914', 'PF08757', 'PF09192', 'PF10009', 'PF10140', 'PF10707', 'PF12260', 'PF12330', 'PF13095', 'PF13575', 'PF14531', 'PF16474', 'PF17667', 'PF18101', 'PF18762', 'PF19250', 'PF19974', 'PF20613']","['PF06090', 'PF06702', 'PF12260', 'PF16474', 'PF18101']"
CL0018,"['PF00170', 'PF03131', 'PF07716']","['PF03131', 'PF07716']"
CL0020,"['PF00244', 'PF00514', 'PF00515', 'PF00613', 'PF00637', 'PF00790', 'PF00806', 'PF00888', 'PF01239', 'PF01347', 'PF01365', 'PF01417', 'PF01535', 'PF01602', 'PF01603', 'PF01749', 'PF01816', 'PF01843', 'PF01851', 'PF02020', 'PF02071', 'PF02184', 'PF02259', 'PF02847', 'PF02854', 'PF02985', 'PF03081', 'PF03097', 'PF03130', 'PF03224', 'PF03377', 'PF03378', 'PF03635', 'PF03704', 'PF03810', 'PF03914', 'PF04048', 'PF04049', 'PF04050', 'PF04054', 'PF04078', 'PF04090', 'PF04091', 'PF04097', 'PF04100', 'PF04118', 'PF04124', 'PF04129', 'PF04136', 'PF04177', 'PF04184', 'PF04190', 'PF04437', 'PF04733', 'PF04818', 'PF04826', 'PF04840', 'PF04869', 'PF04910', 'PF05004', 'PF05282', 'PF05327', 'PF05470', 'PF05484', 'PF05536', 'PF05804', 'PF05843', 'PF05918', 'PF06041', 'PF06046', 'PF06060', 'PF06148', 'PF06239', 'PF06248', 'PF06292', 'PF06367', 'PF06371', 'PF06419', 'PF06552', 'PF06685', 'PF06920', 'PF06957', 'PF07219', 'PF07393', 'PF07539', 'PF07571', 'PF07575', 'PF07651', 'PF07719', 'PF07720', 'PF07721', 'PF07817', 'PF07980', 'PF08144', 'PF08158', 'PF08161', 'PF08163', 'PF08166', 'PF08167', 'PF08216', 'PF08238', 'PF08311', 'PF08314', 'PF08318', 'PF08321', 'PF08324', 'PF08389', 'PF08453', 'PF08454', 'PF08506', 'PF08514', 'PF08558', 'PF08568', 'PF08569', 'PF08579', 'PF08609', 'PF08623', 'PF08631', 'PF08700', 'PF08713', 'PF08767', 'PF08852', 'PF09088', 'PF09090', 'PF09127', 'PF09246', 'PF09268', 'PF09295', 'PF09450', 'PF09477', 'PF09613', 'PF09759', 'PF09763', 'PF09770', 'PF09790', 'PF09797', 'PF09976', 'PF09986', 'PF10037', 'PF10189', 'PF10191', 'PF10255', 'PF10257', 'PF10274', 'PF10300', 'PF10304', 'PF10345', 'PF10350', 'PF10363', 'PF10366', 'PF10373', 'PF10374', 'PF10392', 'PF10474', 'PF10475', 'PF10487', 'PF10508', 'PF10516', 'PF10579', 'PF10602', 'PF10858', 'PF10952', 'PF11107', 'PF11229', 'PF11510', 'PF11698', 'PF11701', 'PF11791', 'PF11817', 'PF11841', 'PF11846', 'PF11865', 'PF11894', 'PF11935', 'PF11988', 'PF11989', 'PF12022', 'PF12031', 'PF12243', 'PF12331', 'PF12348', 'PF12372', 'PF12460', 'PF12530', 'PF12569', 'PF12583', 'PF12688', 'PF12717', 'PF12719', 'PF12741', 'PF12753', 'PF12755', 'PF12765', 'PF12771', 'PF12783', 'PF12830', 'PF12854', 'PF12862', 'PF12895', 'PF12922', 'PF12968', 'PF13041', 'PF13174', 'PF13176', 'PF13181', 'PF13251', 'PF13281', 'PF13371', 'PF13374', 'PF13414', 'PF13424', 'PF13428', 'PF13429', 'PF13431', 'PF13432', 'PF13512', 'PF13513', 'PF13525', 'PF13646', 'PF13812', 'PF13838', 'PF14322', 'PF14559', 'PF14561', 'PF14674', 'PF14675', 'PF14676', 'PF14677', 'PF14678', 'PF14679', 'PF14680', 'PF14718', 'PF14763', 'PF14764', 'PF14852', 'PF14853', 'PF14863', 'PF14906', 'PF14929', 'PF14938', 'PF15278', 'PF15469', 'PF15787', 'PF16186', 'PF16213', 'PF16399', 'PF16415', 'PF16416', 'PF16417', 'PF16418', 'PF16419', 'PF16528', 'PF16782', 'PF16804', 'PF16811', 'PF16854', 'PF16918', 'PF16997', 'PF17004', 'PF17127', 'PF17177', 'PF17432', 'PF17781', 'PF17826', 'PF17874', 'PF18028', 'PF18055', 'PF18071', 'PF18378', 'PF18381', 'PF18391', 'PF18529', 'PF18581', 'PF18710', 'PF18768', 'PF18770', 'PF18773', 'PF18777', 'PF18786', 'PF18787', 'PF18794', 'PF18795', 'PF18797', 'PF18806', 'PF18808', 'PF18816', 'PF18817', 'PF18829', 'PF18833', 'PF18944', 'PF19189', 'PF19273', 'PF19282', 'PF19424', 'PF19427', 'PF19440', 'PF19704', 'PF19867', 'PF19904', 'PF19964', 'PF20023', 'PF20052', 'PF20103', 'PF20168', 'PF20206', 'PF20210', 'PF20225', 'PF20262', 'PF20308', 'PF20416', 'PF20421', 'PF20425', 'PF20431', 'PF20468', 'PF20500', 'PF20502', 'PF20518', 'PF20649', 'PF20651', 'PF20652', 'PF20653', 'PF20654', 'PF20655', 'PF20662', 'PF20663', 'PF20665', 'PF20666', 'PF20667', 'PF20669', 'PF20671', 'PF20867', 'PF20925', 'PF20926', 'PF20927', 'PF20998', 'PF21033', 'PF21035', 'PF21040', 'PF21041', 'PF21044', 'PF21045', 'PF21047', 'PF21049', 'PF21050', 'PF21052', 'PF21055', 'PF21058', 'PF21071', 'PF21072', 'PF21093', 'PF21119', 'PF21170', 'PF21232', 'PF21245', 'PF21246', 'PF21259', 'PF21289', 'PF21325', 'PF21505', 'PF21545', 'PF21547', 'PF21581', 'PF21587', 'PF21588', 'PF21603', 'PF21719', 'PF21810']","['PF00244', 'PF00637', 'PF00790', 'PF00806', 'PF00888', 'PF01239', 'PF01347', 'PF01365', 'PF01417', 'PF01602', 'PF01603', 'PF01749', 'PF01843', 'PF01851', 'PF02020', 'PF02184', 'PF02259', 'PF02847', 'PF02854', 'PF02985', 'PF03081', 'PF03097', 'PF03224', 'PF03378', 'PF03635', 'PF03914', 'PF04048', 'PF04049', 'PF04050', 'PF04054', 'PF04091', 'PF04097', 'PF04100', 'PF04118', 'PF04124', 'PF04129', 'PF04136', 'PF04177', 'PF04184', 'PF04190', 'PF04437', 'PF04818', 'PF04826', 'PF04840', 'PF04869', 'PF04910', 'PF05004', 'PF05282', 'PF05327', 'PF05470', 'PF05536', 'PF05843', 'PF05918', 'PF06046', 'PF06060', 'PF06148', 'PF06239', 'PF06248', 'PF06292', 'PF06367', 'PF06371', 'PF06419', 'PF06920', 'PF06957', 'PF07393', 'PF07539', 'PF07571', 'PF07575', 'PF07651', 'PF07817', 'PF08144', 'PF08158', 'PF08161', 'PF08163', 'PF08166', 'PF08167', 'PF08216', 'PF08311', 'PF08314', 'PF08318', 'PF08321', 'PF08324', 'PF08389', 'PF08454', 'PF08506', 'PF08514', 'PF08558', 'PF08568', 'PF08569', 'PF08609', 'PF08623', 'PF08631', 'PF08767', 'PF09088', 'PF09090', 'PF09127', 'PF09268', 'PF09759', 'PF09763', 'PF09770', 'PF09790', 'PF09797', 'PF09976', 'PF10037', 'PF10189', 'PF10191', 'PF10255', 'PF10257', 'PF10274', 'PF10300', 'PF10304', 'PF10345', 'PF10350', 'PF10363', 'PF10366', 'PF10373', 'PF10374', 'PF10392', 'PF10474', 'PF10475', 'PF10487', 'PF10508', 'PF10516', 'PF10579', 'PF10602', 'PF11107', 'PF11229', 'PF11510', 'PF11698', 'PF11701', 'PF11817', 'PF11841', 'PF11865', 'PF11894', 'PF11935', 'PF12022', 'PF12031', 'PF12348', 'PF12372', 'PF12460', 'PF12530', 'PF12569', 'PF12717', 'PF12719', 'PF12765', 'PF12783', 'PF12830', 'PF12862', 'PF12922', 'PF13251', 'PF13281', 'PF14674', 'PF14675', 'PF14676', 'PF14677', 'PF14678', 'PF14679', 'PF14680', 'PF14763', 'PF14764', 'PF14852', 'PF14853', 'PF14906', 'PF14929', 'PF15469', 'PF15787', 'PF16186', 'PF16213', 'PF16399', 'PF16415', 'PF16417', 'PF16418', 'PF16528', 'PF17004', 'PF17177', 'PF17781', 'PF17826', 'PF18028', 'PF18055', 'PF18391', 'PF18581', 'PF18770', 'PF18773', 'PF18777', 'PF18786', 'PF18787', 'PF18797', 'PF18806', 'PF18808', 'PF18816', 'PF18829', 'PF19273', 'PF19282', 'PF19424', 'PF19427', 'PF19440', 'PF19704', 'PF20023', 'PF20206', 'PF20210', 'PF20262', 'PF20416', 'PF20421', 'PF20425', 'PF20468', 'PF20500', 'PF20502', 'PF20518']"
CL0021,"['PF00164', 'PF00181', 'PF00252', 'PF00313', 'PF00366', 'PF00436', 'PF00575', 'PF00900', 'PF01132', 'PF01176', 'PF01200', 'PF01287', 'PF01330', 'PF01336', 'PF01588', 'PF01796', 'PF01938', 'PF01957', 'PF02303', 'PF02721', 'PF02760', 'PF02765', 'PF03100', 'PF03120', 'PF03319', 'PF03459', 'PF03870', 'PF03919', 'PF04057', 'PF04076', 'PF04679', 'PF04717', 'PF06075', 'PF06125', 'PF06714', 'PF07076', 'PF07290', 'PF07404', 'PF07497', 'PF07717', 'PF08206', 'PF08292', 'PF08402', 'PF08418', 'PF08585', 'PF08646', 'PF08661', 'PF08804', 'PF09103', 'PF09104', 'PF09285', 'PF09883', 'PF10246', 'PF10341', 'PF10447', 'PF10451', 'PF10991', 'PF11325', 'PF11506', 'PF11604', 'PF11736', 'PF11967', 'PF12658', 'PF12667', 'PF12857', 'PF12869', 'PF13114', 'PF13509', 'PF13742', 'PF14444', 'PF14481', 'PF14743', 'PF15072', 'PF15490', 'PF15793', 'PF16099', 'PF16100', 'PF16450', 'PF16669', 'PF16686', 'PF16745', 'PF16773', 'PF16853', 'PF16900', 'PF16992', 'PF17092', 'PF17185', 'PF17191', 'PF17207', 'PF17215', 'PF17216', 'PF17244', 'PF17245', 'PF17246', 'PF17746', 'PF17758', 'PF17768', 'PF17845', 'PF17847', 'PF17849', 'PF17850', 'PF17875', 'PF17876', 'PF17877', 'PF17878', 'PF17879', 'PF17912', 'PF18018', 'PF18233', 'PF18313', 'PF18330', 'PF18352', 'PF18543', 'PF18614', 'PF18691', 'PF18693', 'PF18914', 'PF19913', 'PF20093', 'PF21005', 'PF21189', 'PF21191', 'PF21192', 'PF21236', 'PF21262', 'PF21265', 'PF21266', 'PF21318', 'PF21430', 'PF21473', 'PF21474', 'PF21543', 'PF21579', 'PF21634', 'PF21669', 'PF21710']","['PF00164', 'PF00181', 'PF00252', 'PF00313', 'PF00366', 'PF00436', 'PF00900', 'PF01176', 'PF01200', 'PF01287', 'PF01336', 'PF01588', 'PF01938', 'PF02760', 'PF02765', 'PF03870', 'PF03919', 'PF04057', 'PF04679', 'PF08292', 'PF08418', 'PF08585', 'PF08646', 'PF08661', 'PF09103', 'PF09104', 'PF10246', 'PF10341', 'PF10447', 'PF14444', 'PF15072', 'PF15490', 'PF15793', 'PF16099', 'PF16100', 'PF16450', 'PF16669', 'PF16686', 'PF16900', 'PF17207', 'PF17215', 'PF17216', 'PF17849', 'PF17875', 'PF17877', 'PF18018', 'PF19913']"
CL0022,"['PF00560', 'PF01030', 'PF03382', 'PF05725', 'PF07723', 'PF07725', 'PF11921', 'PF12468', 'PF12799', 'PF13306', 'PF13516', 'PF13855', 'PF14580', 'PF18779', 'PF18791', 'PF18805', 'PF18831', 'PF18837', 'PF19729', 'PF20919']","['PF01030', 'PF18779', 'PF18831', 'PF18837', 'PF19729']"
CL0023,"['PF00004', 'PF00005', 'PF00006', 'PF00009', 'PF00025', 'PF00063', 'PF00071', 'PF00142', 'PF00154', 'PF00158', 'PF00176', 'PF00225', 'PF00265', 'PF00270', 'PF00271', 'PF00308', 'PF00350', 'PF00406', 'PF00437', 'PF00448', 'PF00485', 'PF00488', 'PF00493', 'PF00503', 'PF00519', 'PF00580', 'PF00625', 'PF00685', 'PF00693', 'PF00709', 'PF00735', 'PF00910', 'PF00931', 'PF01057', 'PF01078', 'PF01121', 'PF01202', 'PF01268', 'PF01443', 'PF01580', 'PF01583', 'PF01591', 'PF01637', 'PF01656', 'PF01695', 'PF01712', 'PF01715', 'PF01745', 'PF01926', 'PF01935', 'PF02223', 'PF02224', 'PF02263', 'PF02283', 'PF02367', 'PF02374', 'PF02399', 'PF02421', 'PF02456', 'PF02463', 'PF02492', 'PF02499', 'PF02500', 'PF02534', 'PF02562', 'PF02572', 'PF02606', 'PF02689', 'PF02702', 'PF02841', 'PF03028', 'PF03029', 'PF03192', 'PF03193', 'PF03205', 'PF03215', 'PF03237', 'PF03266', 'PF03308', 'PF03354', 'PF03567', 'PF03618', 'PF03668', 'PF03796', 'PF03846', 'PF03969', 'PF03976', 'PF04257', 'PF04275', 'PF04310', 'PF04317', 'PF04466', 'PF04548', 'PF04665', 'PF04670', 'PF04851', 'PF05049', 'PF05127', 'PF05179', 'PF05272', 'PF05496', 'PF05609', 'PF05621', 'PF05625', 'PF05673', 'PF05707', 'PF05729', 'PF05763', 'PF05783', 'PF05872', 'PF05876', 'PF05879', 'PF05894', 'PF05970', 'PF06048', 'PF06068', 'PF06144', 'PF06309', 'PF06414', 'PF06418', 'PF06431', 'PF06564', 'PF06733', 'PF06745', 'PF06858', 'PF06911', 'PF06990', 'PF07015', 'PF07034', 'PF07088', 'PF07517', 'PF07652', 'PF07693', 'PF07724', 'PF07726', 'PF07728', 'PF07755', 'PF07931', 'PF07999', 'PF08245', 'PF08298', 'PF08303', 'PF08351', 'PF08423', 'PF08433', 'PF08438', 'PF08477', 'PF08903', 'PF09037', 'PF09140', 'PF09439', 'PF09547', 'PF09711', 'PF09807', 'PF09818', 'PF09820', 'PF09848', 'PF10088', 'PF10236', 'PF10412', 'PF10443', 'PF10483', 'PF10609', 'PF10649', 'PF10662', 'PF10923', 'PF10996', 'PF11111', 'PF11398', 'PF11496', 'PF11602', 'PF12128', 'PF12344', 'PF12399', 'PF12696', 'PF12774', 'PF12775', 'PF12780', 'PF12781', 'PF12846', 'PF12848', 'PF13086', 'PF13087', 'PF13166', 'PF13173', 'PF13175', 'PF13177', 'PF13189', 'PF13191', 'PF13207', 'PF13238', 'PF13245', 'PF13304', 'PF13307', 'PF13337', 'PF13361', 'PF13401', 'PF13469', 'PF13476', 'PF13479', 'PF13481', 'PF13500', 'PF13514', 'PF13521', 'PF13538', 'PF13555', 'PF13558', 'PF13604', 'PF13614', 'PF13654', 'PF13671', 'PF13871', 'PF13872', 'PF14396', 'PF14417', 'PF14516', 'PF14532', 'PF14617', 'PF16203', 'PF16260', 'PF16575', 'PF16796', 'PF16813', 'PF16834', 'PF16836', 'PF17213', 'PF17784', 'PF18082', 'PF18128', 'PF18133', 'PF18747', 'PF18748', 'PF18751', 'PF18766', 'PF19044', 'PF19263', 'PF19518', 'PF19557', 'PF19568', 'PF19798', 'PF19842', 'PF19975', 'PF19993', 'PF19995', 'PF20030', 'PF20307', 'PF20454', 'PF20692', 'PF20693', 'PF20702', 'PF20703', 'PF20720', 'PF21090', 'PF21228', 'PF21264', 'PF21445', 'PF21448', 'PF21449']","['PF00006', 'PF00448', 'PF00493', 'PF00709', 'PF00735', 'PF01268', 'PF02263', 'PF02374', 'PF02492', 'PF02841', 'PF03029', 'PF03266', 'PF03567', 'PF03969', 'PF04275', 'PF04548', 'PF04670', 'PF05049', 'PF05127', 'PF05179', 'PF05609', 'PF05625', 'PF05783', 'PF06068', 'PF06309', 'PF06418', 'PF06733', 'PF06858', 'PF06911', 'PF06990', 'PF07034', 'PF07693', 'PF07724', 'PF07728', 'PF08351', 'PF08423', 'PF08433', 'PF09439', 'PF09807', 'PF09848', 'PF10236', 'PF10483', 'PF10609', 'PF10996', 'PF11111', 'PF12781', 'PF13307', 'PF13538', 'PF13871', 'PF13872', 'PF14396', 'PF14617', 'PF16203', 'PF16575', 'PF17213', 'PF19518']"
CL0025,"['PF00512', 'PF02518', 'PF02895', 'PF07536', 'PF07568', 'PF07730', 'PF10090', 'PF13581', 'PF13589', 'PF13749', 'PF14501']",[]
CL0026,"['PF00116', 'PF00127', 'PF00394', 'PF00812', 'PF02298', 'PF06481', 'PF06525', 'PF07731', 'PF07732', 'PF08526', 'PF08985', 'PF12306', 'PF13473', 'PF14699', 'PF16986']","['PF00116', 'PF00394', 'PF00812', 'PF07731', 'PF07732', 'PF08526', 'PF14699']"
CL0027,"['PF00078', 'PF00680', 'PF00972', 'PF00978', 'PF00998', 'PF02123', 'PF04197', 'PF05919', 'PF07727', 'PF20049', 'PF20483', 'PF20488']",[]
CL0029,"['PF00027', 'PF00190', 'PF00908', 'PF01050', 'PF01238', 'PF01987', 'PF02041', 'PF02311', 'PF02373', 'PF02375', 'PF02668', 'PF02678', 'PF03079', 'PF03171', 'PF03336', 'PF04074', 'PF04115', 'PF04209', 'PF04622', 'PF04831', 'PF04962', 'PF05118', 'PF05523', 'PF05721', 'PF05726', 'PF05899', 'PF05962', 'PF05995', 'PF06052', 'PF06172', 'PF06249', 'PF06339', 'PF06560', 'PF06719', 'PF06865', 'PF07350', 'PF07385', 'PF07847', 'PF07883', 'PF08007', 'PF08487', 'PF08943', 'PF09313', 'PF09859', 'PF10014', 'PF10637', 'PF11004', 'PF11699', 'PF12851', 'PF12852', 'PF12933', 'PF12973', 'PF13532', 'PF13621', 'PF13640', 'PF13661', 'PF13757', 'PF13759', 'PF14033', 'PF14226', 'PF14499', 'PF14525', 'PF16161', 'PF16802', 'PF16867', 'PF17954', 'PF18637', 'PF19480', 'PF20510', 'PF20511', 'PF20515', 'PF21621']","['PF01238', 'PF02375', 'PF02668', 'PF02678', 'PF03079', 'PF04209', 'PF04622', 'PF04831', 'PF05118', 'PF05721', 'PF05726', 'PF05995', 'PF06052', 'PF07847', 'PF08007', 'PF08487', 'PF10637', 'PF11699', 'PF12851', 'PF12933', 'PF13532', 'PF13621', 'PF13661', 'PF13757', 'PF20510', 'PF20511']"
CL0030,"['PF00060', 'PF00520', 'PF01007', 'PF02386', 'PF03814', 'PF07885', 'PF08016', 'PF20519']","['PF01007', 'PF08016', 'PF20519']"
CL0031,"['PF00102', 'PF00581', 'PF00782', 'PF01451', 'PF02302', 'PF02383', 'PF03162', 'PF04179', 'PF04273', 'PF04722', 'PF05706', 'PF06602', 'PF13350', 'PF14566', 'PF14671', 'PF16809']","['PF01451', 'PF02383', 'PF04722', 'PF05706', 'PF06602', 'PF14671']"
CL0032,"['PF01037', 'PF02426', 'PF03795', 'PF03927', 'PF03992', 'PF04261', 'PF04486', 'PF04673', 'PF05336', 'PF06778', 'PF07045', 'PF07110', 'PF07237', 'PF07682', 'PF07876', 'PF07978', 'PF08734', 'PF08803', 'PF09448', 'PF11639', 'PF11695', 'PF11746', 'PF13816', 'PF13826', 'PF14026', 'PF14114', 'PF16291', 'PF17074', 'PF17805', 'PF18075', 'PF18232', 'PF20628', 'PF21105']",['PF07978']
CL0033,"['PF00651', 'PF02214', 'PF03931', 'PF07707', 'PF11822', 'PF16017', 'PF21536']","['PF03931', 'PF11822', 'PF16017']"
